COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,DateTime,
34,0,0,4568.205128,4006.153846,3848.205128,4337.435897,4417.435897,4370.25641,4317.435897,4474.358974,4550.769231,4074.358974,4266.153846,4555.384615,3835.384615,4126.153846,1664,1692,10.563,10.56376553,0,0,0,0,2/8/15 6:13
35,0,0,4566.666667,4008.717949,3842.051282,4332.820513,4412.820513,4362.051282,4317.948718,4475.897436,4565.641026,4077.435897,4268.205128,4554.871795,3846.153846,4100.512821,1663,1692,10.571,10.56376553,0,0,0,0,2/8/15 6:13
36,0,0,4568.717949,4012.307692,3840,4329.230769,4429.74359,4371.282051,4318.974359,4477.948718,4575.897436,4082.564103,4268.205128,4542.051282,3846.153846,4123.076923,1664,1692,10.578,10.56376553,0,0,0,0,2/8/15 6:13
37,0,0,4568.205128,4016.923077,3837.435897,4335.384615,4443.589744,4364.615385,4318.461538,4474.358974,4567.179487,4084.102564,4265.641026,4534.358974,3841.025641,4153.333333,1663,1692,10.586,10.56376553,0,0,0,0,2/8/15 6:13
38,0,0,4563.589744,4012.307692,3840.512821,4343.076923,4435.384615,4338.461538,4318.461538,4471.282051,4565.641026,4082.564103,4263.076923,4537.435897,3846.153846,4164.102564,1665,1692,10.594,10.56376553,0,0,0,0,2/8/15 6:13
39,0,0,4555.384615,4001.025641,3846.153846,4332.307692,4427.179487,4340.512821,4317.948718,4472.307692,4571.282051,4084.615385,4270.769231,4538.974359,3846.666667,4165.128205,1664,1692,10.602,10.56376553,0,0,0,0,2/8/15 6:13
40,0,0,4554.358974,4004.615385,3846.666667,4322.051282,4428.717949,4366.153846,4317.948718,4475.897436,4570.769231,4081.025641,4281.538462,4536.410256,3844.615385,4145.128205,1665,1692,10.61,10.56376553,0,0,0,0,2/8/15 6:13
41,0,0,4574.871795,4012.820513,3846.666667,4333.333333,4425.641026,4370.769231,4318.974359,4477.435897,4570.25641,4072.307692,4284.102564,4534.871795,3847.179487,4130.769231,1664,1692,10.617,10.56376553,0,0,0,0,2/8/15 6:13
42,0,0,4588.205128,4013.333333,3849.74359,4346.666667,4434.358974,4364.102564,4316.410256,4474.871795,4568.205128,4080,4275.897436,4536.923077,3846.666667,4144.102564,1665,1693,10.625,10.56376553,0,0,0,0,2/8/15 6:13
43,0,0,4571.282051,4017.948718,3848.717949,4344.615385,4441.025641,4369.74359,4312.307692,4473.846154,4566.666667,4093.333333,4269.230769,4535.384615,3849.230769,4154.871795,1665,1692,10.633,10.56376553,0,0,0,0,2/8/15 6:13
